DR_NO,Date Rptd,DATE OCC,TIME OCC
200808302.0,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,1930.0
200408755.0,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,
200505068.0,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,1000.0
200614595.0,08/24/2020 12:00:00 AM,08/24/2020 12:00:00 AM,
200615043.0,09/06/2020 12:00:00 AM,09/04/2020 12:00:00 AM,1700.0
,,10/12/2020 12:00:00 AM,2030.0
200216455.0,10/21/2020 12:00:00 AM,,900.0
200712594.0,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,
200915696.0,10/09/2020 12:00:00 AM,,
200108556.0,03/05/2020 12:00:00 AM,03/04/2020 12:00:00 AM,1435.0
200116354.0,08/13/2020 12:00:00 AM,08/13/2020 12:00:00 AM,1425.0
200412172.0,,,1030.0
200512111.0,,,1900.0
201113064.0,08/30/2020 12:00:00 AM,08/30/2020 12:00:00 AM,1500.0
,,03/27/2020 12:00:00 AM,
201015685.0,12/02/2020 12:00:00 AM,,1900.0
200808801.0,04/28/2020 12:00:00 AM,04/23/2020 12:00:00 AM,1030.0
200212736.0,07/19/2020 12:00:00 AM,,
200515258.0,,,
200716781.0,12/06/2020 12:00:00 AM,12/06/2020 12:00:00 AM,1230.0
200304700.0,,01/12/2020 12:00:00 AM,2030.0
200409594.0,06/08/2020 12:00:00 AM,06/06/2020 12:00:00 AM,2000.0
200208066.0,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,
200618580.0,,11/27/2020 12:00:00 AM,1500.0
,11/16/2020 12:00:00 AM,11/15/2020 12:00:00 AM,
201212144.0,,05/04/2020 12:00:00 AM,100.0
201219304.0,,08/22/2020 12:00:00 AM,1700.0
200317571.0,09/19/2020 12:00:00 AM,09/19/2020 12:00:00 AM,1040.0
201109063.0,,,
200109962.0,,,
201307804.0,,,2140.0
,06/13/2020 12:00:00 AM,06/12/2020 12:00:00 AM,2215.0
,12/05/2020 12:00:00 AM,,915.0
201212831.0,05/15/2020 12:00:00 AM,05/04/2020 12:00:00 AM,700.0
,02/28/2020 12:00:00 AM,02/27/2020 12:00:00 AM,
,11/11/2020 12:00:00 AM,11/10/2020 12:00:00 AM,1700.0
200616417.0,,10/08/2020 12:00:00 AM,
,10/17/2020 12:00:00 AM,10/10/2020 12:00:00 AM,1.0
,07/16/2020 12:00:00 AM,04/21/2020 12:00:00 AM,900.0
200605329.0,,01/25/2020 12:00:00 AM,1400.0
200706186.0,02/16/2020 12:00:00 AM,02/14/2020 12:00:00 AM,1615.0
,10/09/2020 12:00:00 AM,,1330.0
201218195.0,08/09/2020 12:00:00 AM,,
200408096.0,,04/22/2020 12:00:00 AM,1900.0
200508431.0,04/18/2020 12:00:00 AM,,2200.0
,08/28/2020 12:00:00 AM,08/28/2020 12:00:00 AM,
201219885.0,,09/03/2020 12:00:00 AM,835.0
200913371.0,,03/20/2020 12:00:00 AM,600.0
200909092.0,,,
200717236.0,12/18/2020 12:00:00 AM,,1100.0
200115046.0,,,
200319472.0,10/27/2020 12:00:00 AM,10/27/2020 12:00:00 AM,
200610699.0,,05/24/2020 12:00:00 AM,1730.0
,,02/01/2020 12:00:00 AM,945.0
200504809.0,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,
200705134.0,01/20/2020 12:00:00 AM,01/19/2020 12:00:00 AM,
200812232.0,,,1100.0
200611438.0,06/15/2020 12:00:00 AM,06/14/2020 12:00:00 AM,
200111209.0,05/01/2020 12:00:00 AM,04/30/2020 12:00:00 AM,1803.0
200415454.0,12/01/2020 12:00:00 AM,11/16/2020 12:00:00 AM,
200605686.0,,,1.0
,,04/25/2020 12:00:00 AM,
200909232.0,05/02/2020 12:00:00 AM,,2200.0
200605833.0,,02/05/2020 12:00:00 AM,1300.0
,,,2030.0
200116174.0,08/10/2020 12:00:00 AM,08/08/2020 12:00:00 AM,1300.0
200606007.0,02/11/2020 12:00:00 AM,,1055.0
,03/28/2020 12:00:00 AM,,1700.0
200122630.0,12/20/2020 12:00:00 AM,12/19/2020 12:00:00 AM,200.0
,03/08/2020 12:00:00 AM,03/08/2020 12:00:00 AM,
200314858.0,,07/27/2020 12:00:00 AM,
,08/18/2020 12:00:00 AM,08/18/2020 12:00:00 AM,
200313281.0,,06/26/2020 12:00:00 AM,2305.0
200707668.0,03/22/2020 12:00:00 AM,,
,09/29/2020 12:00:00 AM,,215.0
201113788.0,,09/20/2020 12:00:00 AM,30.0
201011314.0,,,1540.0
201220280.0,09/08/2020 12:00:00 AM,09/08/2020 12:00:00 AM,1900.0
,,08/01/2020 12:00:00 AM,
201110895.0,06/27/2020 12:00:00 AM,,2200.0
200209757.0,05/03/2020 12:00:00 AM,,
,,,1930.0
200320465.0,11/16/2020 12:00:00 AM,,1000.0
200919016.0,12/31/2020 12:00:00 AM,12/23/2020 12:00:00 AM,1200.0
,,05/17/2020 12:00:00 AM,
200219096.0,12/28/2020 12:00:00 AM,12/27/2020 12:00:00 AM,1645.0
201305867.0,,,1210.0
,05/27/2020 12:00:00 AM,,1640.0
201013650.0,,,845.0
,03/08/2020 12:00:00 AM,03/08/2020 12:00:00 AM,1300.0
,02/03/2020 12:00:00 AM,,
200400819.0,05/24/2020 12:00:00 AM,,2145.0
,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,
,09/11/2020 12:00:00 AM,09/04/2020 12:00:00 AM,1458.0
200300601.0,,,1200.0
200211375.0,06/15/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1630.0
200618301.0,,11/21/2020 12:00:00 AM,600.0
,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,
201116284.0,12/03/2020 12:00:00 AM,12/03/2020 12:00:00 AM,
200406644.0,03/08/2020 12:00:00 AM,03/05/2020 12:00:00 AM,
200617539.0,11/03/2020 12:00:00 AM,11/02/2020 12:00:00 AM,500.0
,10/13/2020 12:00:00 AM,10/13/2020 12:00:00 AM,1620.0
,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,315.0
200314030.0,,07/11/2020 12:00:00 AM,
200304179.0,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,147.0
,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1050.0
200217162.0,,11/07/2020 12:00:00 AM,950.0
200616654.0,10/13/2020 12:00:00 AM,10/13/2020 12:00:00 AM,
201113171.0,,08/24/2020 12:00:00 AM,1630.0
201210975.0,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,
200910474.0,,06/02/2020 12:00:00 AM,
,02/23/2020 12:00:00 AM,02/23/2020 12:00:00 AM,315.0
200817902.0,12/25/2020 12:00:00 AM,12/19/2020 12:00:00 AM,1200.0
,05/27/2020 12:00:00 AM,05/27/2020 12:00:00 AM,
200710378.0,06/12/2020 12:00:00 AM,06/11/2020 12:00:00 AM,2232.0
200707946.0,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,1450.0
,06/23/2020 12:00:00 AM,06/23/2020 12:00:00 AM,750.0
200121645.0,11/28/2020 12:00:00 AM,,800.0
200306662.0,02/14/2020 12:00:00 AM,,2330.0
200313179.0,06/25/2020 12:00:00 AM,,
,10/15/2020 12:00:00 AM,09/30/2020 12:00:00 AM,
,,08/30/2020 12:00:00 AM,1900.0
200305373.0,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1330.0
,06/19/2020 12:00:00 AM,06/18/2020 12:00:00 AM,1900.0
,09/07/2020 12:00:00 AM,09/06/2020 12:00:00 AM,2100.0
,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,
,04/08/2020 12:00:00 AM,,
201008401.0,04/22/2020 12:00:00 AM,04/19/2020 12:00:00 AM,
200405985.0,02/20/2020 12:00:00 AM,02/15/2020 12:00:00 AM,1500.0
,05/10/2020 12:00:00 AM,05/09/2020 12:00:00 AM,2100.0
201204576.0,01/09/2020 12:00:00 AM,,
,06/10/2020 12:00:00 AM,06/09/2020 12:00:00 AM,
200512410.0,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,1345.0
200305663.0,01/28/2020 12:00:00 AM,,1310.0
200300943.0,,,550.0
,06/24/2020 12:00:00 AM,06/24/2020 12:00:00 AM,
,,,1700.0
200313965.0,07/10/2020 12:00:00 AM,07/03/2020 12:00:00 AM,2300.0
200804664.0,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1810.0
200708413.0,04/19/2020 12:00:00 AM,,
,,10/16/2020 12:00:00 AM,2100.0
,10/02/2020 12:00:00 AM,,
